Working For Us,2053000
Mexico Joe,950000
NumbersUSA,200000
Indiana Secretary of State Connie Lawson,48292
Trey Hollingsworth,24954
NAACP Legal Defense Fund,24170
Human Rights Campaign,10006
Solar Energy Today,10000
National Wildlife Federation Action Fund,10000
Lisa Dullum for County Council,6000
Mayor Tim Haak,5000
Elizabeth Warren,3053
Donald J. Trump,2672
Zay for State Senate,2000
Right to Life of Southwest Indiana,2000
Judicial Watch,1488
Tim Jeffers for State Representative,1000
Solar Rebate,1000
Sheriff Frank Loop,1000
Sharon Tucker for Council,1000
Shafer Leadership Academy,1000
Ryan Browning for Cass County, IN Commissioner,1000
Planned Parenthood Advocates of Indiana and Kentucky,1000
Pam Buchanan for Judge,1000
NRDC,1000
Michele for IPS,1000
Kevin Patterson,1000
John Aguilera for Indiana,1000
Howard County Democratic Party,1000
Dale Nowlin for State Rep,1000
Co-ops Vote,1000
Brock for Indiana,1000
Blue Monday,1000
18 for 18,926
RSCC,923
Arkansans for Jobs and Justice,798
Anna Caballero for Senate,721
Kyrsten Sinema,719
Imprimis, a Publication of Hillsdale College,560
Jewish Voice Ministries International,302
PragerU,224
VoteTogether,201
Kamala Harris,197
Concealed Online,195
Personal Liberty,166
American AF,165
Heidi Heitkamp,164
Proud Right Winger,146
Color Of Change,140
Nine Line Apparel,120
End Citizens United,112
Goods Unite Us,104
Tom Steyer,98
Be A Hero,91
Carl DeMaio,90
ACLU,73
International Rescue Committee,68
National Republican Congressional Committee,54
SEIU Healthcare Illinois & Indiana,53
Democratic Senatorial Campaign Committee (DSCC),49
NARAL Pro-Choice America,48
Fred Upton,45
Stand Up America,44
CARE,33
Swing Left,31
Dr. Dena Grayson,31
Oceana,30
Indivisible Guide,25
MoveOn,24
FrackFeed,24
Blue Wave,24
Time To Vote On Climate,21
Scott Frantz for State Senate,19
San Antonio Professional Fire Fighters Association,19
National Park Foundation,19
UltimateStraw,18
Care Voters of Minnesota,18
Planned Parenthood Action,16
Bill Nelson,15
Science for Humans and Freedom Institute,14
Planned Parenthood,13
National Network of Abortion Funds,13
Oxfam,12
Dean Phillips for Congress,12
Tony Evers,9
David Baria for Mississippi,9
USA for UNHCR,8
Tina Smith,8
James Thompson for Kansas,8
Conservation International,8
Chris Murphy,6
Yes On 1631,5
Portside,5
Bob Casey,5
Russian America TV,4
ClearPath Action Fund,4
The Longshore Institute,3
Businesses for Responsible Tax Reform,3
Latta for Congress,2
Kevin Gaither for Congress,2
Congressional Leadership Fund,2
Politicon,1
Winning For Women,0
We The People Holsters,0
Voters Decide,0
VoteYes4Success,0
United States Holocaust Memorial Museum,0
The Rutherford Institute,0
Support The 2nd Amendment,0
St. Joseph County Democratic Party,0
Shield Republic,0
Sheila Brillson for LaPorte County Commissioner,0
Shaun King,0
Sharice for Congress,0
Rhonda Greene for Washington County Auditor,0
Quorum,0
President Trump Fans,0
Power In Cooperation,0
Planned Parenthood Advocates of Michigan,0
Phil Bredesen,0
North Carolina Democratic Party,0
No Kid Hungry,0
NRDC Action Fund,0
Muslim Legal Fund of America,0
Mote for Judge,0
Military Officers Association of America (MOAA),0
MedicareSupplement.com,0
Matt Gentry,0
Louder with Crowder,0
LifeDaily,0
Lessons from Military History,0
Larry M Levine You are entitled to my opinion,0
Klean Kanteen,0
Kentucky Family Values,0
Joe Lannan for Indiana State Representative - District 63,0
Jeff Merkley,0
Janet Mills,0
Human Coalition,0
Heifer International,0
Greenpeace USA,0
Giving Brush,0
Fayette County Republican Party of Indiana,0
Energy Citizens,0
Elect Benyousky Trustee,0
Divided We Stand,0
Democratic Party,0
Conservative Tribune,0
Color Of Change PAC,0
Civic Action Network,0
Chrissy Harrison Dutton - Madison County Board, District 15,0
Catholic Relief Services,0
CREDO Mobile,0
Bird + Stone,0
Beto O'Rourke,0
Armed American Supply,0
Amnesty International USA,0
American Jewish World Service - AJWS,0
Aimee Rivera Cole for District 37,0
AFGE,0
